domain,url,ct_timestamp,label,n_bk_dom,n_blog_dom,n_forum_dom,ptile95_contain_hp,mean_contain_hp,med_contain_hp,ptile95_contain_num,r_contain_num_dom,n_contain_hp_num_url,n_contain_hp_num_dom,r_contain_hp_num_url,r_contain_hp_num_dom,n_follow_url,n_nofollow_url,r_follow_url,r_external_domain_to_domain,dom_to_page_url_med,dom_to_page_url_95ptil,dom_to_page_dom_med,dom_to_page_dom_95ptil,link_to_page_url_med,link_to_page_url_95ptil,link_to_page_dom_med,link_to_page_dom_95ptil,page_to_dom_url_med,page_to_dom_url_95ptil,page_to_dom_dom_med,page_to_dom_dom_95ptil,page_to_link_url_med,page_to_link_url_95ptil,page_to_link_dom_med,page_to_link_dom_95ptil,create_date_month,wm_start_date_month,n_rec_total,n_rec_normal,n_num_change,jcd_nl_mode,max_num_days,min_num_days,r_rec_normal,pds_html_con_rep_ratio_mean,pds_html_txt_rep_ratio_mean,pds_html_txt_mjr_sum_mean,pds_html_txt_mjr_rep_mean,pds_html_con_mjr_sum_mean,pds_html_con_mjr_rep_mean,pds_vp_mjr_sum_mean,pds_vp_mjr_rep_mean,pds_fp_mjr_sum_mean,pds_fp_mjr_rep_mean,pds_vp_loc_w_sum_mean,pds_vp_size_w_pct_mean,pds_fp_loc_w_sum_mean,pds_fp_size_w_pct_mean,pds_vp_area_ratio_mean,pds_fp_area_rfp_mean,pds_fp_area_rvp_mean,pds_html_con_mjr_ps_max_ratio,pds_html_con_mjr_ps_en,pds_vp_mjr_ps_max_ratio,pds_vp_mjr_ps_en,pds_fp_mjr_ps_max_ratio,pds_fp_mjr_ps_en,pds_head_sum_mean,pds_title_sum_mean
canonprintersupportnumbers.com,https://canonprintersupportnumbers.com,2020_09_22_05_57_16_267,1,187,18,23,6.0,3.0185,1.0,27.0,0.679,108,47,0.7059,0.5802,526,3781,0.1221,0.3048,0.0,0.0,0.0,2.5,4.0,33.0,3.0,43.5,25.0,61.7,10.0,94.7,46.0,109.0,13.0,124.1,201608,201612,82,38,7,1.0,377,35,0.4634,0.7642,0.6642,4.0408,2.9388,8.8265,7.7551,0.3367,0.0,1.8163,0.8163,0.0767,0.2792,0.4563,0.7128,0.0013,0.0017,0.0066,0.1327,3.9285,0.0,1.0978,0.1939,3.7025,2.4796,0.4184
www.printercustomerservice.co,http://www.printercustomerservice.co,2020_09_19_16_49_31_983,1,41,3,7,3.0,1.5909,1.0,6.8,0.6970000000000000,23,15,0.4035,0.4545,52,47,0.5253,0.3171,0.0,2.0,0.0,2.0,7.0,58.5,5.0,146.0,4.0,30.0,5.0,30.0,5.0,38.1,7.0,40.0,201904,202008,1,1,0,1.0,43,0,1.0,0.77,0.6125,3.2784,2.2371,6.4124,5.4124,2.5361,1.5361,2.7732,1.7423,0.4249,1.0,0.4453,0.9692,0.0062,0.0044,0.0118,0.5258,2.4299,0.4948,1.2773,0.299,2.7106,2.8144,0.4742
printercustomerservice.org,https://printercustomerservice.org,2020_09_27_15_23_10_693,1,10,2,0,3.5,2.0,2.0,2.5,0.3333,1,1,0.0833,0.1667,16,5,0.7619,0.2,0.0,1.0,0.0,0.775,30.0,361.0,43.25,471.0,5.0,84.0,6.5,149.0,6.0,113.0,12.5,181.325,202001,202001,0,0,0,0.0,0,0,0.0,0.2681,0.1997,2.6224,1.0408,3.2551,1.6429,2.6327,1.2449,2.0,0.2755,0.2752,1.0,0.1689,0.8714,0.0176,0.0028,0.009,0.551,3.0047,0.4388,2.8607,0.7245,1.7116,1.1735,0.2857
ebookhelpline.com,https://ebookhelpline.com,2020_09_25_03_13_01_623,1,38,20,0,2.6,1.8621,2.0,195.0,0.6207,4,2,0.0769,0.069,33,602,0.052,0.8421,0.0,3.0,6.5,136.1,679.0,683.0,39.25,771.5,503.0,579.0,210.5,1133.35,766.0,865.0,344.0,1365.3,202001,202001,0,0,0,0.0,0,0,0.0,0.2493,0.2075,0.9592,0.5408,1.2551,0.8367,0.449,0.0,0.8673,0.4694,0.186,0.3681,0.2539,0.3384,0.0011,0.0004,0.0032,0.0,1.9226,0.0,1.1122,0.0,1.7583,0.5918,0.2959
www.thecustomerservicenumber.com,https://www.thecustomerservicenumber.com,2020_09_22_04_43_54_15,1,66,51,5,807.0,206.8434,133.0,41.0,0.4096,0,0,0.0,0.0,4992,8,0.9984,0.7121,0.0,1.0,0.0,23.0,6.0,26.0,6.0,244.0,17.0,74.05,53.0,530.125,159.0,620.0,353.25,1190.0,201806,201903,12,3,0,0.0,0,0,0.25,0.826,0.6351,4.6907,3.6804,11.5258,10.5258,3.8969,2.8763,3.3299,2.3196,0.7526,0.8851,0.4012,0.7519,0.0115,0.0031,0.0121,0.2371,4.405,0.2371,4.097,0.1959,4.2794,3.3814,0.8557
123hpcomsetup.comtech365.com,https://123hpcomsetup.comtech365.com,2020_09_27_15_39_39_314,1,85,9,5,11.1,4.3469,1.0,4.2,0.6531,62,28,0.5636,0.5714,561,170,0.7674,0.1765,0.0,0.0,0.0,1.0,5.0,35.5,4.0,93.2,12.0,263.0,6.0,88.2,14.0,328.0,8.0,164.6,201501,201802,6,3,0,0.0,615,354,0.5,0.8669,0.4411,1.9899,1.0,9.596,8.6061,1.0101,0.0,2.8485,1.9091,0.0424,0.4298,0.8745,0.7351,0.002,0.0027,0.0155,0.3131,2.2207,0.9697,0.2237,0.303,2.443,0.1212,0.0
www.solution4tech.com,https://www.solution4tech.com,2020_09_22_05_13_53_78,1,12,4,0,2.65,1.5,1.0,0.65,0.125,0,0,0.0,0.0,41,17,0.7069,0.0833,0.0,0.15,0.0,1.35,2.0,39.1,7.0,134.85,7.5,20.9,5.5,30.15,23.0,51.15,10.5,71.7,201112,201306,25,20,0,0.0,487,0,0.8,0.7042,0.5306,3.0,2.0,4.6667,3.5,2.25,0.75,1.0,0.1667,0.3555,0.4866,0.2885,0.3029,0.005,0.0034,0.0032,0.5,1.9591,0.4167,2.0546,0.75,1.0409,1.75,0.25
primotechy.com,https://primotechy.com,2020_09_28_05_31_56_1000,1,2,0,0,1.95,1.5,1.5,1.9,0.5,0,0,0.0,0.0,41,2,0.9535,0.0,0.0,0.0,0.0,0.0,2.0,5.7,8.5,14.35,20.0,20.0,11.5,19.15,30.0,30.0,17.5,28.75,202001,202001,0,0,0,0.0,0,0,0.0,0.1007,0.0502,0.5354,0.1616,0.6970000000000000,0.2626,0.3333,0.0101,0.1414,0.0707,0.0226,0.2657,0.0522,0.0467,0.0022,0.0001,0.0003,0.0,2.0878,0.0,1.2746,0.0,0.471,0.2222,0.0707
veritableact.com,https://veritableact.com,2020_09_28_05_23_52_748,1,5,0,0,17.0,17.0,17.0,3.0,1.0,0,0,0.0,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,55.6,22.0,55.6,3.0,20.6,3.0,20.6,4.0,37.4,4.0,37.4,202001,202001,0,0,0,0.0,0,0,0.0,0.0,0.0,0.8571,0.0,0.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571,0.5917,0.0,0.0,0.0,0.0,0.8571,0.8571
www.contact-phone-number.com,https://www.contact-phone-number.com,2020_09_22_05_46_58_166,1,645,76,176,658.0,111.0289,35.0,17.3,0.5687,161,93,0.1807,0.2241,4566,434,0.9132,0.4558,0.0,3.0,0.0,17.2,5.0,173.0,8.0,465.2,48.0,353.0,33.0,627.6,133.0,875.0,158.0,1167.2,201705,201706,77,32,4,1.0,475,49,0.4156,0.3826,0.3247,2.4865,1.3784,3.3784,2.2703,1.9459,0.9459,2.6486,0.1351,0.3151,0.9462,0.7068,0.7388,0.005,0.0006,0.0074,0.1622,4.7362,0.9459,0.3034,0.0,4.6822,1.1622,0.2703
